item_id,start_time,end_time,total_time_min,official_sources
TC05,2026-08-10T09:07:00+02:00,2026-08-10T09:25:00+02:00,18,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC06,2026-08-10T09:43:00+02:00,2026-08-10T10:05:00+02:00,22,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC07,2026-08-10T10:21:00+02:00,2026-08-10T10:37:00+02:00,16,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC08,2026-08-10T13:36:00+02:00,2026-08-10T14:01:00+02:00,25,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC09,2026-08-10T14:19:00+02:00,2026-08-10T14:38:00+02:00,19,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC10,2026-08-10T15:08:00+02:00,2026-08-10T15:35:00+02:00,27,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC11,2026-08-11T09:07:00+02:00,2026-08-11T09:28:00+02:00,21,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC12,2026-08-11T09:43:00+02:00,2026-08-11T10:00:00+02:00,17,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC13,2026-08-11T10:21:00+02:00,2026-08-11T10:45:00+02:00,24,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC14,2026-08-11T13:36:00+02:00,2026-08-11T13:56:00+02:00,20,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC15,2026-08-11T14:19:00+02:00,2026-08-11T14:34:00+02:00,15,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC16,2026-08-11T15:08:00+02:00,2026-08-11T15:37:00+02:00,29,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC17,2026-08-12T09:07:00+02:00,2026-08-12T09:30:00+02:00,23,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC19,2026-08-12T09:43:00+02:00,2026-08-12T10:01:00+02:00,18,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC20,2026-08-12T10:21:00+02:00,2026-08-12T10:47:00+02:00,26,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC21,2026-08-12T13:36:00+02:00,2026-08-12T13:52:00+02:00,16,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC22,2026-08-12T14:19:00+02:00,2026-08-12T14:39:00+02:00,20,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC23,2026-08-12T15:08:00+02:00,2026-08-12T15:39:00+02:00,31,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC24,2026-08-13T09:07:00+02:00,2026-08-13T09:29:00+02:00,22,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
TC25,2026-08-13T09:43:00+02:00,2026-08-13T10:02:00+02:00,19,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
DORA-01,2026-08-13T10:21:00+02:00,2026-08-13T10:38:00+02:00,17,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-02,2026-08-13T13:36:00+02:00,2026-08-13T14:01:00+02:00,25,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-03,2026-08-13T14:19:00+02:00,2026-08-13T14:40:00+02:00,21,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-04,2026-08-13T15:08:00+02:00,2026-08-13T15:36:00+02:00,28,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-05,2026-08-14T09:07:00+02:00,2026-08-14T09:23:00+02:00,16,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-06,2026-08-14T09:43:00+02:00,2026-08-14T10:07:00+02:00,24,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-07,2026-08-14T10:21:00+02:00,2026-08-14T10:39:00+02:00,18,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-08,2026-08-14T13:36:00+02:00,2026-08-14T13:59:00+02:00,23,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng | https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng
DORA-10,2026-08-14T14:19:00+02:00,2026-08-14T14:46:00+02:00,27,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng
DORA-12,2026-08-14T15:08:00+02:00,2026-08-14T15:28:00+02:00,20,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng
DORA-13,2026-08-15T09:07:00+02:00,2026-08-15T09:26:00+02:00,19,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng | https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng
DORA-14,2026-08-15T09:43:00+02:00,2026-08-15T10:09:00+02:00,26,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng
DORA-15,2026-08-15T10:21:00+02:00,2026-08-15T10:36:00+02:00,15,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng
DORA-16,2026-08-15T13:36:00+02:00,2026-08-15T13:58:00+02:00,22,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng
DORA-17,2026-08-15T14:19:00+02:00,2026-08-15T14:49:00+02:00,30,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng
DORA-18,2026-08-16T09:07:00+02:00,2026-08-16T09:24:00+02:00,17,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng | https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng
DORA-19,2026-08-16T09:43:00+02:00,2026-08-16T10:07:00+02:00,24,https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng
DORA-20,2026-08-16T10:21:00+02:00,2026-08-16T10:42:00+02:00,21,https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng
DORA-21,2026-08-16T13:36:00+02:00,2026-08-16T13:54:00+02:00,18,https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng
DORA-22,2026-08-16T14:19:00+02:00,2026-08-16T14:44:00+02:00,25,https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng
