item_id,instrument,provision,decision,reason,evidence_reference,evidence_excerpt
TC05,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act establishes the scope and definitions for the regulation, including what constitutes an AI system. It does not contain any specific obligations related to access control, authentication, or authorization.",,
TC05,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 outlines the obligations for high-risk AI systems, focusing on the requirements for the provider to ensure the system is compliant with the regulation. It does not address specific technical security controls like SSO, MFA, or access reviews.",,
TC05,Regulation (EU) 2024/1689,Article 17,Unsupported,Article 17 details the obligations for providers of high-risk AI systems to implement a quality management system. This is a broad governance requirement and does not specifically mandate the technical access control measures mentioned in the control statement.,,
TC06,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act pertains to the obligations of providers regarding the design and development of high-risk AI systems, focusing on risk management and ensuring the AI system is developed in accordance with the requirements of the regulation. It does not address the segregation of administrative, model, or security configuration privileges.",,
TC06,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act outlines the obligations of providers regarding the technical documentation for high-risk AI systems. This article requires detailed documentation of the system's design, development, and testing, but it does not mandate the segregation of administrative, model, or security configuration privileges.",,
TC06,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 of the EU AI Act concerns the obligations of providers regarding the conformity assessment for high-risk AI systems. This article focuses on the process of ensuring the AI system meets the requirements of the regulation, including risk management and documentation, but it does not address the segregation of administrative, model, or security configuration privileges.",,
TC07,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act addresses the classification of AI systems and their risk levels, which is a governance and categorization requirement. It does not impose specific technical obligations for data encryption.",,
TC07,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act pertains to the obligations of users of high-risk AI systems, focusing on their responsibilities for use and oversight. It does not contain requirements for data encryption.",,
TC08,Regulation (EU) 2024/1689,Article 10,Partially supported,"Article 10 establishes the general obligation for high-risk AI systems to ensure data governance, including data quality and minimisation. This provides a relevant legal basis for restricting sensitive inputs, but it is a high-level requirement and does not specifically mandate classification, masking, or the technical controls mentioned.",,
TC08,Regulation (EU) 2024/1689,Article 26(4),Partially supported,Article 26(4) requires that high-risk AI systems process personal data in a manner that is limited to what is necessary for the intended purpose. This supports the 'minimisation' aspect of the control but does not address classification or masking of sensitive inputs.,,
TC08,Regulation (EU) 2024/1689,Article 27,Unsupported,Article 27 pertains to the documentation and record-keeping obligations for high-risk AI systems. It does not address the technical restriction or processing of sensitive inputs.,,
TC09,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 addresses the classification of AI systems and their risk levels, which is a foundational requirement but does not directly relate to the technical isolation of entities or tenants.",,
TC09,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 pertains to transparency obligations for certain AI systems, focusing on providing information to users, not on the technical isolation of environments or knowledge bases.",,
TC09,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 outlines requirements for high-risk AI systems, including risk management and data governance, but does not specifically mandate the isolation of entities or tenants.",,
TC10,Regulation (EU) 2024/1689,Article 10,Unsupported,"Article 10 of the EU AI Act generally addresses the obligations of providers regarding the design and development of AI systems, focusing on risk management and ensuring the AI system is safe and in compliance with the law. It does not specifically address data retention or deletion policies for prompts, files, outputs, vectors, or logs.",,
TC10,Regulation (EU) 2024/1689,Article 12,Unsupported,Article 12 of the EU AI Act pertains to the obligations of providers regarding the documentation and information to be drawn up before an AI system is placed on the market. This is a documentation requirement and does not cover data retention or deletion policies.,,
TC10,Regulation (EU) 2024/1689,Article 13,Unsupported,"Article 13 of the EU AI Act deals with transparency obligations for providers of certain AI systems, such as those intended to interact with natural persons or used to generate or manipulate image, audio or video content. This is a transparency requirement and does not address data retention or deletion.",,
TC10,Regulation (EU) 2024/1689,Article 26(6),Unsupported,Article 26(6) of the EU AI Act concerns the obligations of providers to ensure that AI systems are designed and developed in a way that they can be effectively overseen by natural persons. This is an oversight requirement and does not address data retention or deletion policies.,,
TC11,Regulation (EU) 2024/1689,Article 10,Unsupported,"Article 10 of the EU AI Act addresses the obligations of providers of general-purpose AI models, including requirements for technical documentation and training data. It does not specifically address the exclusion of institutional data from training or the provision of an opt-out mechanism for such data.",,
TC11,Regulation (EU) 2024/1689,Article 13,Unsupported,"Article 13 of the EU AI Act pertains to transparency obligations for deployers of certain AI systems, such as providing information to users. It does not contain provisions related to the training data of AI models or the opt-out of institutional data.",,
TC11,Regulation (EU) 2024/1689,Article 25(4),Unsupported,Article 25(4) of the EU AI Act concerns the obligations of providers of high-risk AI systems to implement a quality management system. This article does not address the specific issue of excluding institutional data from training or providing an opt-out mechanism.,,
TC12,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act pertains to the obligations of providers of general-purpose AI models, which is unrelated to the technical control of allowlisting and least-privilege for APIs and connections.",,
TC12,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 addresses the obligations of users of high-risk AI systems, focusing on their responsibilities in using the system, not on the underlying network or API security controls.",,
TC12,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 outlines the obligations for providers of high-risk AI systems, which are related to the system's lifecycle and risk management, not to the specific technical implementation of network access controls.",,
TC13,Regulation (EU) 2024/1689,Article 9,Unsupported,Article 9 of the EU AI Act addresses the obligation for providers to ensure the accuracy of training data. This is a data quality requirement and does not directly relate to mitigating specific attack vectors like prompt injection or malicious file uploads.,,
TC13,Regulation (EU) 2024/1689,Article 15,Partially supported,"Article 15 requires providers to implement appropriate technical measures to ensure that AI systems are resilient against reasonably foreseeable misuse. This provides a general obligation for security and resilience, which is relevant to mitigating attacks. However, it is a broad requirement and does not specifically name or detail the mitigation of the listed attack types.",,
TC14,Regulation (EU) 2024/1689,Article 5,Unsupported,"Article 5 of the EU AI Act establishes the general obligations for providers of AI systems, focusing on risk management and ensuring AI systems are safe and in conformity with EU law. It does not specifically address the control of sensitive data, malicious code, harmful content, or prohibited-use outputs in the context of generative AI outputs.",,
TC14,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act addresses the obligations of users of AI systems, requiring them to use the systems in accordance with instructions and to monitor their operation. It does not impose specific requirements on providers to control the content of AI-generated outputs.",,
TC14,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act outlines the obligations for providers of high-risk AI systems, including the requirement to implement a quality management system and maintain technical documentation. It does not directly mandate the control of sensitive data, malicious code, harmful content, or prohibited-use outputs in the generated outputs.",,
