item_id,framework,instrument,domain,control_statement,expected_evidence,applicability,existing_mapping,source_row
TC01,EU AI Act,Regulation (EU) 2024/1689,Transparency,Is the person clearly informed that they are interacting with AI?,Persistent or first-interaction notice and screenshot,Direct interaction,"Art. 50(1),(5)",5
TC02,EU AI Act,Regulation (EU) 2024/1689,Transparency,Are generated or manipulated outputs machine-readably marked?,"Standard, sample, detection method and export-retention test",Generative AI provider,"Art. 50(2),(5)",6
TC03,EU AI Act,Regulation (EU) 2024/1689,Transparency,Is prior notice provided for emotion recognition or biometric categorisation?,"Notice screen, privacy notice and activation criteria",If used,"Art. 50(3),(5); Art. 5(1)(f)",7
TC04,EU AI Act,Regulation (EU) 2024/1689,Transparency,Can deepfakes and relevant public-interest AI text be clearly disclosed?,"Visible label, publication workflow and editorial accountability",External publication,"Art. 50(4),(5)",8
TC05,EU AI Act,Regulation (EU) 2024/1689,IAM,"Are SSO/MFA, least privilege and access review implemented?","Access matrix, MFA configuration and review record",All systems,Art. 9; Art. 15; Art. 17,9
TC06,EU AI Act,Regulation (EU) 2024/1689,PAM,"Are admin, model and security configuration privileges segregated and controlled?","PAM, approval, four-eyes check and admin logs",All systems,Art. 9; Art. 15; Art. 17,10
TC07,EU AI Act,Regulation (EU) 2024/1689,Encryption,Are data encrypted in transit and at rest with managed keys?,"TLS, storage encryption and KMS evidence",Protected data,Art. 9; Art. 15,11
TC08,EU AI Act,Regulation (EU) 2024/1689,Data,"Are sensitive inputs restricted with classification, minimisation and masking?","DLP rules, user warning, masking test and exception approval",Personal or confidential data,Art. 10; Art. 26(4); Art. 27,12
TC09,EU AI Act,Regulation (EU) 2024/1689,Isolation,"Are entities, tenants, environments and knowledge bases isolated?","Architecture, tenant-isolation and access-bypass tests",Multi-entity or tenant,Art. 9; Art. 15; Art. 17,13
TC10,EU AI Act,Regulation (EU) 2024/1689,Lifecycle,"Are retention and deletion configurable for prompts, files, outputs, vectors and logs?","Retention settings, deletion test and backup treatment",All systems,Art. 10; Art. 12; Art. 13; Art. 26(6),14
TC11,EU AI Act,Regulation (EU) 2024/1689,Training,Is institutional data excluded from training or subject to enforceable opt-out?,"Contract, settings, API parameters and vendor evidence",Third-party or cloud model,Art. 10; Art. 13; Art. 25(4),15
TC12,EU AI Act,Regulation (EU) 2024/1689,API,"Are APIs, plugins, agent tools and outbound connections allowlisted and least-privileged?","Interface inventory, service accounts, scopes and network policy",Integration or agent,Art. 9; Art. 15; Art. 17,16
TC13,EU AI Act,Regulation (EU) 2024/1689,Input,"Are prompt injection, malicious files, retrieval bypass and indirect instructions mitigated?","Red-team test, scanning, inherited ACL and blocking evidence","Generative AI, RAG or agent systems",Art. 9; Art. 15,17
TC14,EU AI Act,Regulation (EU) 2024/1689,Output,"Are sensitive data, malicious code, harmful content and prohibited-use outputs controlled?","DLP, filters, sandboxing and test report",Generative AI,Art. 5; Art. 9; Art. 15,18
TC15,EU AI Act,Regulation (EU) 2024/1689,Logging,"Are user, time, I/O, model version, tool calls and admin actions logged?","Log fields, integrity, access restrictions and retention",All; stricter for high-risk,Art. 12; Art. 19; Art. 26(6),19
TC16,EU AI Act,Regulation (EU) 2024/1689,Oversight,"Are human review, rejection, stop, override and escalation available?","Workflow, stop control, RACI and exercise evidence",Decision-impacting AI,"Art. 14; Art. 26(2),(5)",20
TC17,EU AI Act,Regulation (EU) 2024/1689,Accuracy,"Are accuracy, hallucination, repeatability and limits tested?","Benchmark, thresholds, failure cases and review rule",All systems,Art. 9; Art. 13; Art. 15; Art. 26(5),21
TC18,EU AI Act,Regulation (EU) 2024/1689,Bias,"Are bias, discrimination and performance differences across groups tested?","Representativeness, subgroup testing, thresholds and remediation",Individuals or high-risk,Art. 5; Art. 10; Art. 15; Art. 27,22
TC19,EU AI Act,Regulation (EU) 2024/1689,Resilience,"Are capacity, redundancy, fail-safe, recovery and manual fallback provided?","Architecture, BCP/DR test, RTO/RPO and fallback",Critical use,Art. 9; Art. 15; Art. 17,23
TC20,EU AI Act,Regulation (EU) 2024/1689,Security,"Are vulnerability, patching, detection, response and serious-incident processes implemented?","Scan, patch SLA, alerts, exercise and reporting process",All; reporting for high-risk,Art. 15; Art. 17; Art. 20; Art. 73,24
TC21,EU AI Act,Regulation (EU) 2024/1689,Change,"Are model, prompt, knowledge base, plugin and security changes tested and approved?","Version inventory, change record, regression test and rollback",All systems,Art. 9; Art. 15; Art. 17; Art. 72,25
TC22,EU AI Act,Regulation (EU) 2024/1689,Monitoring,"Are drift, misuse, control failure and emerging risks monitored?","KPI/KRI, alerts, review and remediation tracking",All; stricter for high-risk,Art. 9; Art. 20; Art. 26(5); Art. 72,26
TC23,EU AI Act,Regulation (EU) 2024/1689,Supply chain,"Is an inventory of models, components, data sources and subcontractors maintained?","Component inventory, versions/SBOM, agreements and vendor evidence",Third-party components,Art. 13; Art. 25(4),27
TC24,EU AI Act,Regulation (EU) 2024/1689,Exit,"Can data be exported, access revoked, data deleted and the system safely retired?","Exit test, deletion evidence, revoked interfaces and replacement plan",All systems,Art. 9; Art. 17; Art. 26(5); Art. 72,28
TC25,EU AI Act,Regulation (EU) 2024/1689,Documentation,"Are architecture, purpose, versions, limits, tests, controls and instructions documented?","Technical file, instructions, test pack and approvals",Provider; high-risk,Art. 11; Art. 13; Art. 17,29
