item_id,framework,instrument,domain,control_statement,expected_evidence,applicability,existing_mapping,source_row
DORA-01,DORA,Regulation (EU) 2022/2554,ICT risk management framework review,"Review at least once a year; also review following a major ICT incident, a supervisory instruction or a finding from testing",,,DORA Article 6(5),3
DORA-02,DORA,Regulation (EU) 2022/2554,ICT business continuity testing,Test the ICT business continuity plans and response and recovery plans at least once a year; also test them following a major change to a critical or important function,,,Article 11(6),4
DORA-03,DORA,Regulation (EU) 2022/2554,Crisis communication testing,"Include communication plans in ICT business continuity testing, but there is no uniform timing requirement",,,Article 14,5
DORA-04,DORA,Regulation (EU) 2022/2554,General digital operational resilience testing,Test all ICT systems and applications supporting critical or important functions appropriately at least once a year,,,Article 24(6),6
DORA-05,DORA,Regulation (EU) 2022/2554,ICT third-party register reporting,"Report at least yearly to the competent authority the number of new ICT service arrangements, the categories of providers, the types of contracts and the functions supported",,,Article 28(3),7
DORA-06,DORA,Regulation (EU) 2022/2554,Management body training,"Members of the management body should regularly receive training on ICT risk and digital operational resilience, but no uniform number of sessions or hours is specified",,,Article 5(4),8
DORA-07,DORA,Regulation (EU) 2022/2554,Staff training,"ICT security and digital operational resilience training should be mandatory, but no minimum number of training hours per year is specified",,,Article 13(6),9
DORA-08,DORA,Regulation (EU) 2022/2554,Major ICT-related incident reporting,"Initial notification, an intermediate report and a final report are required; the specific four-hour, 24-hour and 72-hour deadlines are specified by RTS 2025/301",,,Article 19(4),10
DORA-09,DORA,Regulation (EU) 2022/2554,Penalty for a critical ICT provider,"If a critical ICT third-party service provider does not cooperate with oversight, a daily penalty of up to 1% of its average daily worldwide turnover in the preceding business year may be imposed for no more than six months",,,Article 35(6)–(7),11
DORA-10,DORA,Commission Delegated Regulation (EU) 2025/301,Initial notification,Submit within four hours after classification as a major incident and no later than 24 hours after first becoming aware of the incident,,,Article 5(1)(a),15
DORA-11,DORA,Commission Delegated Regulation (EU) 2025/301,Late classification,"If the incident is classified as major more than 24 hours after it was first known, submit within four hours after classification",,,Article 5(1)(a),16
DORA-12,DORA,Commission Delegated Regulation (EU) 2025/301,Intermediate report,"Submit within 72 hours after the initial notification, even if the incident status or handling has not changed",,,Article 5(1)(b),17
DORA-13,DORA,Commission Delegated Regulation (EU) 2025/301,Updated intermediate report,"Submit without undue delay after regular activities have recovered, when the incident status changes materially, or when the competent authority requests it",,,Article 5(1)(b),18
DORA-14,DORA,Commission Delegated Regulation (EU) 2025/301,Final report,Submit no later than one month after the intermediate report or the latest updated intermediate report,,,Article 5(1)(c),19
DORA-15,DORA,Commission Delegated Regulation (EU) 2024/1774,Vulnerability scanning and assessment,Perform automated vulnerability scanning and assessment at least weekly for ICT assets supporting critical or important functions,,,Article 10(2),23
DORA-16,DORA,Commission Delegated Regulation (EU) 2024/1774,Access rights review for ordinary systems,At least once a year,,,Article 21(1)(e)(iv),24
DORA-17,DORA,Commission Delegated Regulation (EU) 2024/1774,Access rights review for systems supporting critical or important functions,At least once every six months,,,Article 21(1)(e)(iv),25
DORA-18,DORA,Commission Delegated Regulation (EU) 2024/1774,ICT business continuity plan testing,"At least once a year, taking into account severe but plausible scenarios",,,"Article 26, together with DORA Article 11(6)",26
DORA-19,DORA,Commission Delegated Regulation (EU) 2024/1773,Review of the policy on the use of ICT third-party services,At least once a year,,,Article 3,30
DORA-20,DORA,Commission Delegated Regulation (EU) 2024/1773,Independent review of critical or important ICT services,"Include it in the audit plan; determine the audit frequency based on risk, with no uniform requirement for an annual audit",,,Articles 8–9,31
DORA-21,DORA,Commission Delegated Regulation (EU) 2024/1773,Provider performance and risk monitoring,Perform continuously; there is no requirement to perform it monthly or quarterly,,,Article 8,32
DORA-22,DORA,Commission Delegated Regulation (EU) 2024/1773,Exit plan testing,"Test periodically based on risk and criticality, but no uniform annual frequency is specified",,,Article 10,33
