case_id,method,proposed_risk_level,difference_from_manual,risk_assessment_quality_0_4,technical_quality_0_4,regulatory_quality_0_4,supported_citations,total_citations,citation_accuracy_percent,unsupported_claims,human_correction_effort_0_4,overall_usability_0_4,generation_or_workflow_time_min,human_work_or_review_time_min,total_completion_time_min,short_note
CASE-01,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-01,LLM-only,,,,,,,,,,,,,,,
CASE-01,Agentic RAG,,,,,,,,,,,,,,,
CASE-02,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-02,LLM-only,,,,,,,,,,,,,,,
CASE-02,Agentic RAG,,,,,,,,,,,,,,,
CASE-03,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-03,LLM-only,,,,,,,,,,,,,,,
CASE-03,Agentic RAG,,,,,,,,,,,,,,,
CASE-04,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-04,LLM-only,,,,,,,,,,,,,,,
CASE-04,Agentic RAG,,,,,,,,,,,,,,,
CASE-05,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-05,LLM-only,,,,,,,,,,,,,,,
CASE-05,Agentic RAG,,,,,,,,,,,,,,,
CASE-06,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-06,LLM-only,,,,,,,,,,,,,,,
CASE-06,Agentic RAG,,,,,,,,,,,,,,,
CASE-07,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-07,LLM-only,,,,,,,,,,,,,,,
CASE-07,Agentic RAG,,,,,,,,,,,,,,,
CASE-08,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-08,LLM-only,,,,,,,,,,,,,,,
CASE-08,Agentic RAG,,,,,,,,,,,,,,,
CASE-09,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-09,LLM-only,,,,,,,,,,,,,,,
CASE-09,Agentic RAG,,,,,,,,,,,,,,,
CASE-10,Manual,,Baseline,,,,,,,,N/A,,N/A,,,
CASE-10,LLM-only,,,,,,,,,,,,,,,
CASE-10,Agentic RAG,,,,,,,,,,,,,,,
