item_id,coverage,reason,missing_mapping,evidence_reference,evidence_excerpt,applicability_note,challenge_comment
TC05,Yes,"The mapping to Articles 9, 15, and 17 of the EU AI Act provides a defensible and sufficiently complete regulatory basis for the control objective. Article 9 establishes the general obligation for risk management, which includes access control. Article 15 mandates the implementation of technical and organizational measures, which encompasses SSO/MFA and least privilege. Article 17 requires regular reviews of the risk management system, which supports access reviews.",[],,,"The control is applicable to all systems as the EU AI Act imposes obligations on providers of AI systems, which includes the underlying IT infrastructure that supports the AI system.","The mapping is adequate as the cited provisions collectively support the implementation of SSO/MFA, least privilege, and access reviews as necessary technical and organizational measures for risk management."
TC06,No,"The cited articles (9, 15, 17) of the EU AI Act address risk management, transparency, and data governance, respectively. They do not provide a regulatory basis for the specific control objective of segregating and controlling administrative, model, and security configuration privileges.","[{""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 4(2)"", ""reason"": ""This article requires providers to implement a quality management system, which typically includes controls for access and configuration management, making it a relevant but missing provision."", ""evidence_ids"": []}, {""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 15(3)"", ""reason"": ""This provision mandates logging of system activities, which is a key component of the control objective and is not covered by the existing mapping."", ""evidence_ids"": []}]",,,"The control is applicable to all systems under the EU AI Act, as it pertains to fundamental security and operational integrity requirements for AI systems.","The challenge lies in the misalignment between the control's focus on privileged access management and the general nature of the cited articles, which do not specifically address this technical control."
TC07,No,"The mapping to Articles 9 and 15 of the EU AI Act is insufficient to support the control objective of data encryption. Article 9 addresses data governance and quality, while Article 15 covers transparency obligations for high-risk AI systems. Neither provision mandates or supports the technical requirement for encrypting data in transit and at rest.","[{""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 4(2)"", ""reason"": ""This article requires that high-risk AI systems be designed and developed with appropriate cybersecurity measures, which would include data encryption as a standard practice to ensure confidentiality and integrity."", ""evidence_ids"": []}, {""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 15(3)"", ""reason"": ""This provision requires that high-risk AI systems be designed and developed with appropriate cybersecurity measures, which would include data encryption as a standard practice to ensure confidentiality and integrity."", ""evidence_ids"": []}]",,,"The control is applicable to any system processing protected data, as defined by the regulation, which would include personal data and other sensitive information.","The challenge lies in the fact that the EU AI Act is a sector-specific regulation focused on AI systems, and its provisions on cybersecurity are general. The mapping to Articles 9 and 15 is too broad and does not provide a specific legal basis for the encryption control."
TC08,Yes,"The mapping provides a defensible basis. Article 10 establishes data governance and risk management, which includes classification. Article 26(4) requires data minimisation, and Article 27 mandates technical and organisational measures, which can include masking. Together, they support the control objective of restricting sensitive inputs through classification, minimisation, and masking.",[],,,"This control is applicable to personal or confidential data, which is the primary subject of the EU AI Act's data governance requirements.","The mapping is adequate as a set, but the specific technical implementation of masking is not explicitly mandated by name. However, the requirement for appropriate technical measures in Article 27 provides a sufficient basis for it as a reasonable implementation."
TC09,Yes,"The mapping to Articles 9, 15, and 17 of the EU AI Act provides a defensible and sufficiently complete regulatory basis for the isolation control objective. Article 9 establishes risk management and mitigation requirements, which inherently include isolation as a key control. Article 15 mandates technical and organizational measures for high-risk AI systems, which directly supports the need for isolation. Article 17 addresses the obligations of users, which includes ensuring the system is used in accordance with its intended purpose, a goal that isolation helps achieve.",[],,,"This control is applicable to multi-entity or tenant systems, which are explicitly addressed by the high-risk AI system requirements in the EU AI Act.","The challenge is to ensure that the specific technical implementation of isolation (e.g., network segmentation, data separation) is robust enough to meet the regulatory requirements for risk mitigation and technical measures."
TC10,Yes,"The cited articles (10, 12, 13, 26(6)) collectively address data governance, transparency, and record-keeping, which provide a defensible basis for requiring configurable retention and deletion of AI system data.",[],,,"This control is applicable to all AI systems under the EU AI Act, as it pertains to fundamental data management practices.","The mapping is broad but sufficient; the articles do not need to specify the exact data types (prompts, files, etc.) to support the control objective."
TC11,Yes,"The mapping to Articles 10, 13, and 25(4) of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 10 establishes the general obligation for high-risk AI systems to be trained on high-quality data, which implicitly supports the exclusion of non-relevant institutional data. Article 13 requires data governance measures, which can include opt-out mechanisms. Article 25(4) specifically mandates that users be provided with an option to opt out of the system's operation, which directly supports the control objective.",[],,,"This control is applicable to third-party or cloud models, as these are the types of systems that would be subject to the EU AI Act's requirements for high-risk AI systems.",The challenge is to ensure that the opt-out mechanism is enforceable and that the data governance measures are effectively implemented to prevent the use of institutional data without consent.
TC12,No,"The cited articles (9, 15, 17) of the EU AI Act address risk management, transparency, and post-market monitoring, which do not directly support the control objective of allowlisting and least-privilege access for APIs and connections. The mapping relies on the wrong provisions.","[{""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 15"", ""reason"": ""The cited Article 15 addresses transparency obligations for AI systems, which is unrelated to network access controls. A provision addressing technical security measures for data and system access is required."", ""evidence_ids"": []}, {""instrument"": ""Regulation (EU) 2024/1689"", ""provision"": ""Article 17"", ""reason"": ""The cited Article 17 concerns post-market monitoring and reporting of serious incidents, which does not support the implementation of access controls. A provision mandating secure system architecture and access management is needed."", ""evidence_ids"": []}]",,,"The control is applicable to any system with external interfaces or outbound connections, as these are common attack vectors for unauthorized access and data exfiltration.","The challenge is that the EU AI Act is a sector-specific regulation focused on AI systems, and its provisions do not directly map to general cybersecurity controls for network and system access."
TC13,Yes,"The control objective is to mitigate specific attack vectors like prompt injection and malicious files. Article 9 of the AI Act establishes the general obligation for high-risk AI systems to be designed and developed in a way that ensures an appropriate level of security, robustness, and accuracy. Article 15 further specifies the requirement for high-risk AI systems to be resilient against reasonably foreseeable misuse. Together, these provisions create a defensible regulatory basis for implementing controls to mitigate the listed attack vectors, as they fall under the general security and robustness obligations and the specific requirement for resilience against misuse.",[],,,This assessment is based on the general obligations for high-risk AI systems under the EU AI Act. The applicability of these provisions depends on whether the system in question is classified as a high-risk AI system under the regulation.,"The mapping is adequate as it relies on the foundational security and robustness obligations of the AI Act. While the regulation does not list specific technical controls, these articles provide the necessary high-level mandate to implement measures against the identified threats."
TC14,Yes,"The mapping to Articles 5, 9, and 15 of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 5 establishes the general obligation for high-risk AI systems to be safe and accurate, which covers the control objective. Article 9 requires data governance and data quality, which is relevant for controlling sensitive data. Article 15 mandates the implementation of appropriate risk mitigation measures, which directly supports the control of malicious code, harmful content, and prohibited-use outputs through technical measures like DLP, filters, and sandboxing.",[],,,"This control is specifically applicable to Generative AI systems, which are classified as high-risk under the EU AI Act, thereby triggering the obligations in the cited articles.","The control objective is broad, but the combination of the cited articles provides a comprehensive regulatory foundation. Article 5 covers the overarching safety requirement, while Articles 9 and 15 provide specific, actionable provisions that directly support the implementation of the required technical controls."
