item_id,instrument,provision,decision,reason,evidence_reference,evidence_excerpt
TC05,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to identity access controls such as MFA, least privilege and access review, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC05,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to identity access controls such as MFA, least privilege and access review, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC05,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to identity access controls such as MFA, least privilege and access review, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC06,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to segregation and control of privileged access, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC06,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to segregation and control of privileged access, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC06,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to segregation and control of privileged access, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC07,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to encryption in transit and at rest with managed keys, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC07,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to encryption in transit and at rest with managed keys, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC08,Regulation (EU) 2024/1689,Article 10,Partially supported,"Data and data governance is relevant to restriction, minimisation and masking of sensitive operational inputs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 10 | EUR-Lex CELEX:32024R1689,"Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose."
TC08,Regulation (EU) 2024/1689,Article 26(4),Partially supported,"Input-data duties of deployers is relevant to restriction, minimisation and masking of sensitive operational inputs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(4) | EUR-Lex CELEX:32024R1689,"To the extent the deployer exercises control over the input data, that deployer shall ensure that input data is relevant and sufficiently representative."
TC08,Regulation (EU) 2024/1689,Article 27,Unsupported,"Fundamental-rights impact assessment addresses a different legal obligation and does not materially require restriction, minimisation and masking of sensitive operational inputs.",SYNTHETIC_PREVIEW_2026-09 | Article 27 | EUR-Lex CELEX:32024R1689,"Prior to deploying specified high-risk AI systems, covered deployers shall perform an assessment of the impact on fundamental rights."
TC09,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to tenant, entity and environment isolation, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
