item_id,instrument,provision,decision,reason,evidence_reference,evidence_excerpt
TC05,Regulation (EU) 2024/1689,Article 9,,,,
TC05,Regulation (EU) 2024/1689,Article 15,,,,
TC05,Regulation (EU) 2024/1689,Article 17,,,,
TC06,Regulation (EU) 2024/1689,Article 9,,,,
TC06,Regulation (EU) 2024/1689,Article 15,,,,
TC06,Regulation (EU) 2024/1689,Article 17,,,,
TC07,Regulation (EU) 2024/1689,Article 9,,,,
TC07,Regulation (EU) 2024/1689,Article 15,,,,
TC08,Regulation (EU) 2024/1689,Article 10,,,,
TC08,Regulation (EU) 2024/1689,Article 26(4),,,,
TC08,Regulation (EU) 2024/1689,Article 27,,,,
TC09,Regulation (EU) 2024/1689,Article 9,,,,
TC09,Regulation (EU) 2024/1689,Article 15,,,,
TC09,Regulation (EU) 2024/1689,Article 17,,,,
TC10,Regulation (EU) 2024/1689,Article 10,,,,
TC10,Regulation (EU) 2024/1689,Article 12,,,,
TC10,Regulation (EU) 2024/1689,Article 13,,,,
TC10,Regulation (EU) 2024/1689,Article 26(6),,,,
TC11,Regulation (EU) 2024/1689,Article 10,,,,
TC11,Regulation (EU) 2024/1689,Article 13,,,,
TC11,Regulation (EU) 2024/1689,Article 25(4),,,,
TC12,Regulation (EU) 2024/1689,Article 9,,,,
TC12,Regulation (EU) 2024/1689,Article 15,,,,
TC12,Regulation (EU) 2024/1689,Article 17,,,,
TC13,Regulation (EU) 2024/1689,Article 9,,,,
TC13,Regulation (EU) 2024/1689,Article 15,,,,
TC14,Regulation (EU) 2024/1689,Article 5,,,,
TC14,Regulation (EU) 2024/1689,Article 9,,,,
TC14,Regulation (EU) 2024/1689,Article 15,,,,
TC15,Regulation (EU) 2024/1689,Article 12,,,,
TC15,Regulation (EU) 2024/1689,Article 19,,,,
TC15,Regulation (EU) 2024/1689,Article 26(6),,,,
TC16,Regulation (EU) 2024/1689,Article 14,,,,
TC16,Regulation (EU) 2024/1689,Article 26(2),,,,
TC16,Regulation (EU) 2024/1689,Article 26(5),,,,
TC17,Regulation (EU) 2024/1689,Article 9,,,,
TC17,Regulation (EU) 2024/1689,Article 13,,,,
TC17,Regulation (EU) 2024/1689,Article 15,,,,
TC17,Regulation (EU) 2024/1689,Article 26(5),,,,
TC19,Regulation (EU) 2024/1689,Article 9,,,,
TC19,Regulation (EU) 2024/1689,Article 15,,,,
TC19,Regulation (EU) 2024/1689,Article 17,,,,
TC20,Regulation (EU) 2024/1689,Article 15,,,,
TC20,Regulation (EU) 2024/1689,Article 17,,,,
TC20,Regulation (EU) 2024/1689,Article 20,,,,
TC20,Regulation (EU) 2024/1689,Article 73,,,,
TC21,Regulation (EU) 2024/1689,Article 9,,,,
TC21,Regulation (EU) 2024/1689,Article 15,,,,
TC21,Regulation (EU) 2024/1689,Article 17,,,,
TC21,Regulation (EU) 2024/1689,Article 72,,,,
TC22,Regulation (EU) 2024/1689,Article 9,,,,
TC22,Regulation (EU) 2024/1689,Article 20,,,,
TC22,Regulation (EU) 2024/1689,Article 26(5),,,,
TC22,Regulation (EU) 2024/1689,Article 72,,,,
TC23,Regulation (EU) 2024/1689,Article 13,,,,
TC23,Regulation (EU) 2024/1689,Article 25(4),,,,
TC24,Regulation (EU) 2024/1689,Article 9,,,,
TC24,Regulation (EU) 2024/1689,Article 17,,,,
TC24,Regulation (EU) 2024/1689,Article 26(5),,,,
TC24,Regulation (EU) 2024/1689,Article 72,,,,
TC25,Regulation (EU) 2024/1689,Article 11,,,,
TC25,Regulation (EU) 2024/1689,Article 13,,,,
TC25,Regulation (EU) 2024/1689,Article 17,,,,
DORA-01,Regulation (EU) 2022/2554,Article 6(5),,,,
DORA-02,Regulation (EU) 2022/2554,Article 11(6),,,,
DORA-03,Regulation (EU) 2022/2554,Article 14,,,,
DORA-04,Regulation (EU) 2022/2554,Article 24(6),,,,
DORA-05,Regulation (EU) 2022/2554,Article 28(3),,,,
DORA-06,Regulation (EU) 2022/2554,Article 5(4),,,,
DORA-07,Regulation (EU) 2022/2554,Article 13(6),,,,
DORA-08,Regulation (EU) 2022/2554,Article 19(4),,,,
DORA-10,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(a),,,,
DORA-12,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),,,,
DORA-13,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),,,,
DORA-14,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(c),,,,
DORA-15,Commission Delegated Regulation (EU) 2024/1774,Article 10(2),,,,
DORA-16,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),,,,
DORA-17,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),,,,
DORA-18,Commission Delegated Regulation (EU) 2024/1774,Article 26,,,,
DORA-18,Regulation (EU) 2022/2554,Article 11(6),,,,
DORA-19,Commission Delegated Regulation (EU) 2024/1773,Article 3,,,,
DORA-20,Commission Delegated Regulation (EU) 2024/1773,Article 8,,,,
DORA-20,Commission Delegated Regulation (EU) 2024/1773,Article 9,,,,
DORA-21,Commission Delegated Regulation (EU) 2024/1773,Article 8,,,,
DORA-22,Commission Delegated Regulation (EU) 2024/1773,Article 10,,,,
