item_id,coverage,missing_provisions,reason,source_url,evidence_excerpt
TC05,Yes,,Articles 9 and 15 provide the risk-management and cybersecurity basis for controls that prevent unauthorised access; Article 17 supports documented control procedures. The mapping is adequate at control-objective level even though the Act does not prescribe SSO or MFA by name.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Risk controls and cybersecurity measures must address unauthorised attempts and system vulnerabilities.
TC06,Yes,,"The cited provisions collectively support risk-based privileged-access governance: Article 15 requires resilience against unauthorised manipulation, while Articles 9 and 17 support risk controls, documented procedures and verification. The Act does not prescribe a specific PAM product or four-eyes workflow.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,High-risk AI must be protected against unauthorised manipulation and governed through documented risk and quality controls.
TC07,Yes,,Articles 9 and 15 provide an adequate basis for confidentiality and cybersecurity controls. Encryption and managed keys are reasonable technical measures for those objectives even though the Act does not mandate particular cryptographic technologies.,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Cybersecurity measures must be appropriate to the risks, including confidentiality attacks and exploitation of vulnerabilities."
TC08,Yes,,"Article 10 establishes data-governance requirements and safeguards for high-risk AI data, including controls for special-category personal data; Article 26(4) addresses input-data relevance. Together they provide a defensible basis for restricting and protecting sensitive inputs, although minimisation and masking are implementation choices.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Data governance must address data preparation and safeguards; deployers controlling input data must ensure appropriate input quality.
TC09,Yes,,"Articles 9 and 15 require risk mitigation and cybersecurity resilience against unauthorised interference. Tenant, environment and knowledge-base isolation are reasonable technical measures to achieve those objectives; Article 17 supports documented control procedures.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"High-risk AI must use appropriate risk controls and resist unauthorised alteration of use, outputs or performance."
TC10,No,,"The existing mapping supports event logging and some log-retention obligations, but it does not adequately cover configurable retention and deletion for prompts, files, outputs and vectors across the whole lifecycle. The AI Act has no single general provision that fully requires the stated lifecycle control.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"The Act requires logging and certain retention/data-management practices, but not a general configurable deletion lifecycle for all listed data types."
TC11,No,,"Articles 10, 13 and 25 do not establish a general right or obligation to exclude an institution's data from third-party model training or to provide an enforceable training opt-out. The control may be contractually or data-protection driven, but the existing AI Act mapping is not sufficient.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"The cited provisions govern data quality, transparency and value-chain cooperation, not a general training-data opt-out."
TC12,Yes,,"Articles 9 and 15 support risk-based technical restrictions on integrations and unauthorised manipulation, and Article 17 supports documented design and control procedures. Allowlisting and least privilege are reasonable implementations for API, plugin and agent-tool risk.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Cybersecurity controls must be appropriate to integration risks and protect against unauthorised third-party manipulation.
TC13,Yes,,"Article 15(5) directly covers AI-specific attacks such as adversarial inputs, confidentiality attacks and model flaws, while Article 9 requires risk identification, mitigation and testing. This adequately supports prompt-injection and retrieval-bypass controls.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"AI-specific cybersecurity measures should prevent, detect, respond to and control adversarial and confidentiality attacks."
TC14,Yes,,"Articles 5, 9 and 15 together provide a sufficient basis for controls against prohibited uses, harmful risk outcomes and security-related output manipulation or leakage. The specific filtering techniques are implementation choices rather than prescribed mechanisms.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"The Act prohibits defined AI practices, requires risk mitigation and requires robustness and cybersecurity controls."
TC15,Yes,,"Article 12 requires automatic event logging and traceability, while Articles 19 and 26(6) require retention of generated logs by providers and deployers. The exact log fields can vary, but the control objective is adequately covered.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,High-risk AI must support automatic event logs and relevant operators must retain generated logs for required periods.
TC16,Yes,,"Article 14 expressly requires effective human oversight, including the ability to disregard, override, reverse or safely stop the system. Article 26 requires deployers to assign competent oversight and react to risks and serious incidents.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Human overseers must be able to monitor, override and safely stop high-risk AI systems."
TC17,Yes,,"Articles 9 and 15 require testing, accuracy, robustness and consistent lifecycle performance; Article 13 requires disclosure of accuracy and limitations, and Article 26(5) requires operational monitoring. This adequately covers the stated testing objective.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,High-risk AI must be tested against defined metrics and achieve appropriate accuracy and robustness throughout its lifecycle.
TC19,No,EU-2024-1689::Article 14(4)(d)-(e),"Articles 9, 15 and 17 adequately support resilience, redundancy, backup and fail-safe measures, but the control also requires manual fallback. The existing mapping omits Article 14, which directly requires human override and safe-stop capabilities.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Article 15 supports redundancy and fail-safe measures; Article 14 supplies the missing human override and safe-stop requirement.
TC20,Yes,,"Article 15(5) requires measures to prevent, detect, respond to, resolve and control AI-specific attacks and vulnerabilities. Articles 17, 20 and 73 add procedures for monitoring, corrective action and serious-incident reporting. The mapping is adequate as a set.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"The Act covers AI-specific vulnerability response, corrective action and serious-incident reporting."
TC21,Yes,,"Article 17 expressly requires modification-management procedures and examination, testing and validation before, during and after development. Articles 9, 15 and 72 support lifecycle risk, cybersecurity and post-market monitoring. The mapping adequately covers controlled change.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Providers must manage modifications and maintain testing, validation and lifecycle compliance procedures."
TC22,Yes,,"Article 9 requires continuous and iterative risk management, Article 26(5) requires operational monitoring by deployers, and Article 72 requires systematic post-market monitoring throughout the system lifetime. This directly covers drift, misuse and emerging-risk monitoring.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Risk management and post-market monitoring must continue through the lifecycle, with deployers monitoring system operation."
TC23,No,EU-2024-1689::Article 11;EU-2024-1689::Annex IV,"Articles 13 and 25(4) support transparency and cooperation with component suppliers, but they do not adequately establish the requested inventory of models, components and data sources. Article 11 and Annex IV provide the missing technical-documentation basis for system components, versions, architecture and data provenance.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"Technical documentation must describe system versions, components, architecture, third-party tools and data provenance."
TC24,No,,"The cited provisions support lifecycle risk management, quality management, suspension of risky use and post-market monitoring, but they do not adequately require data export, access revocation, broad data deletion and safe retirement as one exit-control objective. No single AI Act provision fully closes this gap.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,The Act contains lifecycle and suspension duties but no general portability/deletion/retirement requirement matching the full control.
TC25,Yes,,"Article 11 and Annex IV require detailed and up-to-date technical documentation; Article 13 requires instructions describing purpose, capabilities, limitations and performance; Article 17 requires documented quality-management procedures. The mapping adequately covers the documentation objective.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,"The Act requires technical documentation, instructions for use and systematically documented quality-management procedures."
DORA-01,Yes,,"DORA Article 6(5) directly requires periodic review of the ICT risk-management framework at least yearly and also after major ICT incidents, supervisory instructions, and relevant testing or audit conclusions.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,"The ICT risk-management framework is reviewed at least annually and after specified incidents, instructions and testing/audit findings."
DORA-02,Yes,,DORA Article 11(6) directly requires annual testing of ICT business-continuity and response/recovery plans and additional testing after substantive changes to ICT systems supporting critical or important functions.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,Business-continuity and response/recovery plans must be tested at least yearly and after substantive changes.
DORA-03,No,EU-2022-2554::Article 11(6)(b),"Article 14 requires crisis communication plans, but the item is specifically about testing those plans. The testing requirement is in DORA Article 11(6)(b), which is missing from the existing mapping.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,Article 14 establishes crisis communication plans; Article 11(6)(b) requires those plans to be tested.
DORA-04,Yes,,DORA Article 24(6) directly requires appropriate testing at least yearly of all ICT systems and applications supporting critical or important functions.,https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,ICT systems and applications supporting critical or important functions require at least annual testing.
DORA-05,Yes,,"DORA Article 28(3) directly requires financial entities to report at least yearly to competent authorities on new ICT-service arrangements, provider categories, contract types and the ICT services/functions provided.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,Competent authorities must receive at least yearly reporting on new ICT third-party arrangements and their categories.
DORA-06,Yes,,"DORA Article 5(4) requires management-body members to maintain sufficient ICT-risk knowledge and skills through specific training on a regular basis, without imposing a fixed number of annual sessions or hours.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,Management-body members must regularly receive specific training sufficient to understand and assess ICT risk.
DORA-07,Yes,,"DORA Article 13(6) makes ICT-security awareness and digital-operational-resilience training compulsory for employees and senior management, but does not prescribe a minimum number of hours per year.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,ICT-security awareness and resilience training are compulsory modules for staff and senior management.
DORA-08,No,EU-2025-301::Article 5(1),"DORA Article 19(4) establishes the three reporting stages, but the item also states the specific four-hour, 24-hour, 72-hour and one-month deadlines. Those deadlines are set in Delegated Regulation 2025/301 Article 5(1), which is missing from the mapping.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng | https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng,DORA defines initial/intermediate/final reports; Delegated Regulation 2025/301 sets the specific reporting deadlines.
DORA-10,Yes,,Delegated Regulation 2025/301 Article 5(1)(a) directly sets the initial-notification timing: within four hours of classification as major and no later than 24 hours after awareness.,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng,"Initial notification is due within four hours after major classification, subject to the 24-hour outer limit from awareness."
DORA-12,Yes,,Delegated Regulation 2025/301 Article 5(1)(b) directly requires the intermediate report within 72 hours of the initial notification even if the incident status or handling has not changed.,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng,The intermediate report is due within 72 hours of the initial notification even without a status change.
